array = {176, 19, 441, 917, -737, 525, -780, -37, -150, 393, -935}

item |        min |        max |  sum
 --- | 0x0f000000 | 0xf0000000 |    0
 176 |        176 |        176 |  176
  19 |         19 |        176 |  195
 441 |         19 |        441 |  636
 917 |         19 |        917 | 1553
-737 |       -737 |        917 |  816
 525 |       -737 |        917 | 1341
-780 |       -780 |        917 |  561
 -37 |       -780 |        917 |  524
-150 |       -780 |        917 |  374
 393 |       -780 |        917 |  767
-935 |       -935 |        917 | -168

avg = sum / array.length; --> avg = -168 / 11 = -15.27
